UID,UNIQUE_ID,SITE_ID,VISIT_NO,YEAR,PSTL_CODE,AG_ECO9,AG_ECO3,EPA_REG,MAJ_BASIN,MAJ_BAS_NM,MISS_BASIN,HUC2,HUC2_NM,LAT_DD83,LON_DD83,FRAME07,FRAME12,FRAME17,AREA_CAT6,SITETYPE,LAKE_ORGN,TNT_CAT,URBN_NLA17,URBN_NLA07,WGT_TP,XCOORD,YCOORD,ACID_COND,DIS_O2_CLS,PTL_COND,NTL_COND,CHLA_COND,TROPHIC_STATE,ATZ_EPA_COND_3.4,ATZ_DETECT,CYLSPER_EPA_COND,CYLSPER_DETECT,MICX_EPA_COND,MICX_DETECT,ECOLI_EPA_COND,ECOLI_DETECT,BENT_MMI_COND_2017,ZOOP_MMI_COND_2017,DRAWDOWN_COND_2CAT_2017,LITRIPCVR_COND,LITCVR_COND,RVEG_COND,RDIS_COND,NLA_SCI_STATUS,ANC_RESULT,DOC_RESULT,SULFATE_RESULT,ANC_MDL,DOC_MDL,SULFATE_MDL,ANC_NARS_FLAG,DOC_NARS_FLAG,SULFATE_NARS_FLAG,NTL_RESULT,NTL_MDL,NTL_NARS_FLAG,PTL_RESULT,PTL_MDL,PTL_NARS_FLAG,CHLA_RESULT,CHLA_MDL,CHLA_NARS_FLAG,CYLSPER_RESULT,CYLSPER_MDL,CYLSPER_NARS_FLAG,MICX_RESULT,MICX_MDL,MICX_NARS_FLAG,ATRAZINE_RESULT,ATRAZINE_MDL,ATRAZINE_NARS_FLAG,DO_SURF,MMI_ZOOP_2017,MMI_BENT,BFXHORIZDIST_DD,BFXVERTHEIGHT_DD,LitCvrQc3OE,LitRipCvrQc3OE,RDis_IX,RVegQc3OE,B_G_DENS,MEAN_METAL_PEC_Q,MEAN_PEC_Q,TOTAL_PAH13_PEC_Q,E_COLI_NARS_FLAG,E_COLI_PRESENT,E_COLI_RESULT,PUBLICATION_DATE
2010187,NLA_KY-10003,NLA17_KY-10001,1,2017,KY,SAP,EHIGH,Region_04,H05_06,Ohio-Tennessee Region,MISSISSIPPI_BASIN,H05,Ohio Region,36.68168,-83.70503,Include,Include,Include,>50,PROB,MAN_MADE,Target,Urban,Urban,8.643027144,1085511.53,-21377.40548,Good,High (>=5 ppm),Good,Good,Good,Mesotrophic,At or Below Benchmark,Not Detected,At or Below Benchmark,Not Detected,At or Below Benchmark,Detected,At or Below Benchmark,Detected,Fair,Good,Not Large,Good,Fair,Good,Fair,Moderately Disturbed,146.42,1.98,5.803,NA,0.008,0.001,NA,NA,NA,0.121,0.003,NA,5.91625,1.2,NA,2.2,0.39,NA,NA,0.05,ND,3.555,0.1,NA,NA,0.03,ND,8.156666667,85.83,39.9,0,NA,0.637326642,0.819059923,0.242857143,1.126352149,41000,0.297265886,0.150275487,0.003285088,NA,P,13.5,6/3/2022
2010188,NLA_ND-10091,NLA17_ND-10008,1,2017,ND,NPL,PLNLOW,Region_08,H10,Missouri Region,MISSISSIPPI_BASIN,H10U,Upper Missouri Region,47.27222,-100.3903,Include,Include,Include,>50,PROB,NATURAL,Target,Non-Urban,Non-Urban,17.97947041,-333941.8777,1098729.733,Good,High (>=5 ppm),Poor,Poor,Poor,Eutrophic,At or Below Benchmark,Not Detected,At or Below Benchmark,Detected,At or Below Benchmark,Detected,At or Below Benchmark,Not Detected,Poor,Poor,Not Large,Poor,Poor,Poor,Fair,Least Disturbed,12633.41,27.45,701.265,NA,0.008,0.001,NA,NA,NA,3.174,0.003,NA,207.63875,1.2,NA,26.4,0.39,NA,0.089,0.05,L,0.283,0.1,NA,NA,0.03,ND,8.3,16.52,7.7,1.05,0.2,0.21451144,0.214006628,0.636363636,0.253843053,617480,0.191030537,0.096526234,0.00202193,ND,A,NA,6/3/2022
2010189,NLA_TX-10054,NLA17_TX-10001,1,2017,TX,SPL,PLNLOW,Region_06,H12_13,Rio Grande-Texas-Gulf Region,NOT_MISSISSIPPI_BASIN,H12,Texas Region,32.94443,-96.45375,Include,Include,Include,"(10,20]",PROB,MAN_MADE,Target,Urban,Urban,276.1685036,-42168.78104,-509593.0686,Good,High (>=5 ppm),Poor,Poor,Poor,Eutrophic,At or Below Benchmark,Detected,At or Below Benchmark,Not Detected,At or Below Benchmark,Detected,Above Benchmark,Detected,Not Assessed,Good,Not Large,Good,Good,Fair,Poor,Moderately Disturbed,1827.61,5.76,19.405,NA,0.008,0.001,NA,NA,NA,1.074,0.003,NA,134.5625,1.2,NA,22.77,0.39,NA,NA,0.05,ND,0.107,0.1,L,0.62,0.03,NA,5.80964525,70.77,NA,0,NA,2.397181044,1.123922226,0.869186047,0.323186319,219076,0.211030198,0.106396678,0.001763158,H;Q,P,2419.6,6/3/2022
2010190,NLA_KS-10045,NLA17_KS-10005,1,2017,KS,TPL,PLNLOW,Region_07,H10,Missouri Region,MISSISSIPPI_BASIN,H10L,Lower Missouri Region,39.34876,-95.04207,Include,Include,Include,"(4,10]",PROB,MAN_MADE,Target,Urban,Urban,652.4681809,81796.79618,207624.6022,Good,High (>=5 ppm),Poor,Fair,Poor,Eutrophic,At or Below Benchmark,Detected,At or Below Benchmark,Not Detected,At or Below Benchmark,Not Detected,At or Below Benchmark,Detected,Good,Good,Not Large,Fair,Fair,Good,Fair,Moderately Disturbed,2752.62,7.15,19.634,NA,0.008,0.001,NA,NA,NA,0.959,0.003,NA,66.83625,1.2,NA,21.44,0.39,NA,NA,0.05,ND,NA,0.1,ND,0.07,0.03,NA,7.6,53.85,44.6,3.01,0.4,0.482660369,0.61266342,0.295863747,0.715924607,307562,0.304569422,0.153929448,0.003289474,NA,P,3.1,6/3/2022
2010191,NLA_NV-10007,NLA17_NV-10002,1,2017,NV,XER,WMTNS,Region_09,H14_15,Upper Colorado-Lower Colorado Region,NOT_MISSISSIPPI_BASIN,H15,Lower Colorado Region,38.39816,-115.1171,Include,Include,Include,>50,PROB,MAN_MADE,Target,Non-Urban,Non-Urban,3.037046764,-1642721.303,266452.5618,Good,High (>=5 ppm),Good,Fair,Good,Oligotrophic,At or Below Benchmark,Not Detected,At or Below Benchmark,Not Detected,At or Below Benchmark,Not Detected,At or Below Benchmark,Detected,Fair,Good,Not Large,Good,Poor,Good,Good,Moderately Disturbed,6186.35,6.64,80.089,NA,0.008,0.001,NA,NA,NA,0.61,0.003,NA,17.75,1.2,NA,1.26,0.39,NA,NA,0.05,ND,NA,0.1,ND,NA,0.03,ND,10.1,60.88,37,0,NA,0.147473888,1.073521536,0.065217391,1.543512239,6821.9,0.34740063,0.174807771,0.002214912,NA,P,6.3,6/3/2022
2010192,NLA_NV-10112,NLA17_NV-10006,1,2017,NV,XER,WMTNS,Region_09,H16,Great Basin Region,NOT_MISSISSIPPI_BASIN,H16,Great Basin Region,39.24104,-117.1657,Include,Include,Include,"(4,10]",PROB,MAN_MADE,Target,Non-Urban,Non-Urban,13.166523,-1795112.802,395872.8902,Good,High (>=5 ppm),Good,Good,Good,Mesotrophic,At or Below Benchmark,Not Detected,At or Below Benchmark,Not Detected,At or Below Benchmark,Not Detected,At or Below Benchmark,Not Detected,Good,Fair,Not Large,Fair,Good,Poor,Fair,Moderately Disturbed,3804.05,1.32,38.03,NA,0.008,0.001,NA,NA,NA,0.165,0.003,NA,21.74875,1.2,NA,2.75,0.39,NA,NA,0.05,ND,NA,0.1,ND,NA,0.03,ND,9.236666667,55.48,48.8,0,NA,1.252233883,0.582799085,0.522727273,0.248284142,24295.9,0.211427469,0.106634787,0.001842105,H;ND,A,NA,6/3/2022
2010193,NLA_KY-10045,NLA17_KY-10006,1,2017,KY,SAP,EHIGH,Region_04,H05_06,Ohio-Tennessee Region,MISSISSIPPI_BASIN,H05,Ohio Region,37.48693,-84.67911,Include,Include,Include,"(10,20]",PROB,MAN_MADE,Target,Urban,Urban,22.06308208,989212.4363,57525.30323,Good,High (>=5 ppm),Good,Fair,Poor,Eutrophic,At or Below Benchmark,Not Detected,At or Below Benchmark,Not Detected,At or Below Benchmark,Not Detected,At or Below Benchmark,Detected,Fair,Good,Not Large,Fair,Fair,Good,Good,Moderately Disturbed,495.18,3.33,8.362,NA,0.008,0.001,NA,NA,NA,0.386,0.003,NA,16.17625,1.2,NA,16.88,0.39,NA,NA,0.05,ND,NA,0.1,ND,NA,0.03,ND,8.76,75.37,34.9,0,NA,0.500146269,0.787717137,0.2,1.182318011,178300,0.476153383,0.238863972,0.001574561,NA,P,3.1,6/3/2022
2010194,NLA_TX-10181,NLA17_TX-10019,1,2017,TX,SPL,PLNLOW,Region_06,H12_13,Rio Grande-Texas-Gulf Region,NOT_MISSISSIPPI_BASIN,H12,Texas Region,32.0567,-96.7321,Include,Include,Include,"(4,10]",PROB,MAN_MADE,Target,Non-Urban,Non-Urban,477.090743,-68799.13126,-608421.9531,Good,High (>=5 ppm),Poor,Poor,Poor,Eutrophic,At or Below Benchmark,Not Detected,At or Below Benchmark,Detected,At or Below Benchmark,Not Detected,At or Below Benchmark,Detected,Good,Good,Not Large,Good,Good,Fair,Poor,Least Disturbed,830.45,7.78,1.175,NA,0.008,0.001,NA,NA,NA,0.966,0.003,NA,53.165,1.2,NA,13.18,0.39,NA,0.086,0.05,L,NA,0.1,ND,NA,0.03,ND,8.23,50.47,46.1,0,NA,1.67571411,1.009522531,0.918032787,0.603022711,67537,0.208004414,0.104769751,0.001535088,NA,P,9.7,6/3/2022
2010195,NLA_TN-10040,NLA17_TN-10004,1,2017,TN,SAP,EHIGH,Region_04,H05_06,Ohio-Tennessee Region,MISSISSIPPI_BASIN,H05,Ohio Region,36.30417,-86.91358,Include,Include,Include,"(20,50]",PROB,MAN_MADE,Target,Urban,Urban,54.6737393,807285.9534,-95360.23415,Good,High (>=5 ppm),Poor,Poor,Poor,Hypereutrophic,At or Below Benchmark,Not Detected,At or Below Benchmark,Not Detected,At or Below Benchmark,Detected,At or Below Benchmark,Detected,Poor,Fair,Not Large,Good,Good,Good,Fair,Moderately Disturbed,1495.41,3.89,5.827,NA,0.008,0.001,NA,NA,NA,1.138,0.003,NA,48.5825,1.2,NA,64,0.39,NA,NA,0.05,ND,1.108,0.1,NA,NA,0.03,ND,7.8,72.6,24.3,0,NA,1.0789366,1.225515922,0.71744186,1.17220242,908366,0.26325457,0.135379478,0.007504386,NA,P,19.9,6/3/2022
2010196,NLA_MO-10087,NLA17_MO-HP002,1,2017,MO,TPL,PLNLOW,Region_07,H10,Missouri Region,MISSISSIPPI_BASIN,H10L,Lower Missouri Region,40.3133,-94.03102,Include,Include,Include,"(20,50]",HAND,MAN_MADE,Target,Non-Urban,Non-Urban,0,165881.1395,317011.1523,Good,High (>=5 ppm),Good,Good,Good,Mesotrophic,At or Below Benchmark,Detected,At or Below Benchmark,Detected,At or Below Benchmark,Not Detected,At or Below Benchmark,Not Detected,Good,Fair,Not Large,Good,Good,Fair,Fair,Moderately Disturbed,1781.6,6.43,7.102,NA,0.008,0.001,NA,NA,NA,0.691,0.003,NA,25.2025,1.2,NA,2.88,0.39,NA,1.642,0.05,NA,NA,0.1,ND,0.11,0.03,NA,8.913333333,34.97,52.6,0,NA,1.215108458,0.787710596,0.477777778,0.531059098,36034.8,0.351363698,0.176820007,0.002276316,ND,A,NA,6/3/2022
2010197,NLA_IA-10042,NLA17_IA-HP002,1,2017,IA,TPL,PLNLOW,Region_07,H10,Missouri Region,MISSISSIPPI_BASIN,H10L,Lower Missouri Region,40.596744,-93.772298,Include,Include,Include,"(20,50]",HAND,MAN_MADE,Target,Non-Urban,Non-Urban,0,186929.7815,349234.5366,Good,High (>=5 ppm),Good,Good,Good,Oligotrophic,At or Below Benchmark,Detected,At or Below Benchmark,Not Detected,At or Below Benchmark,Not Detected,At or Below Benchmark,Detected,Good,Good,Not Large,Good,Good,Good,Fair,Moderately Disturbed,1978.44,6.49,2.474,NA,0.008,0.001,NA,NA,NA,0.495,0.003,NA,11.1925,1.2,NA,1.79,0.39,NA,NA,0.05,ND,NA,0.1,ND,0.1,0.03,NA,9.833333333,41.25,62.1,0,NA,0.940170352,0.951686283,0.255172414,0.987362766,73944,0.364006283,0.182663229,0.001320175,NA,P,1,6/3/2022
2010198,NLA_ND-10155,NLA17_ND-10035,1,2017,ND,NPL,PLNLOW,Region_08,H10,Missouri Region,MISSISSIPPI_BASIN,H10U,Upper Missouri Region,46.3599,-99.48298,Include,Include,Include,"(20,50]",PROB,NATURAL,Target,Non-Urban,Non-Urban,33.34505989,-268664.1867,994923.8892,Good,High (>=5 ppm),Poor,Poor,Poor,Hypereutrophic,At or Below Benchmark,Not Detected,At or Below Benchmark,Detected,At or Below Benchmark,Detected,At or Below Benchmark,Detected,Poor,Poor,Not Large,Poor,Fair,Poor,Poor,Least Disturbed,8536.37,27.05,1232.713,NA,0.008,0.001,NA,NA,NA,5.156,0.003,NA,266.94625,1.2,NA,66.8,0.39,NA,0.135,0.05,NA,0.761,0.1,NA,NA,0.03,ND,7.08,21.75,8.7,0,NA,0.569008594,0.308960439,0.923076923,0.23753201,4931880,0.184955848,0.093541521,0.002127193,NA,P,22.1,6/3/2022
2010199,NLA_ND-10002,NLA17_ND-10004,1,2017,ND,NPL,PLNLOW,Region_08,H10,Missouri Region,MISSISSIPPI_BASIN,H10U,Upper Missouri Region,46.36831,-99.51996,Include,Include,Include,>50,PROB,NATURAL,Target,Non-Urban,Non-Urban,18.02789691,-271480.8589,995960.8279,Good,High (>=5 ppm),Poor,Poor,Poor,Hypereutrophic,At or Below Benchmark,Not Detected,At or Below Benchmark,Not Detected,At or Below Benchmark,Detected,At or Below Benchmark,Detected,Poor,Poor,Not Large,Poor,Good,Poor,Poor,Moderately Disturbed,9066.71,25.2,534.487,NA,0.008,0.001,NA,NA,NA,5.294,0.003,NA,523.64125,1.2,NA,87.2,0.39,NA,NA,0.05,ND,1.1,1,L,NA,0.03,ND,6.42,24.1,14,0,NA,0.830981857,0.3555018,0.924242424,0.18567328,9925840,0.23152772,0.116845,0.002162281,NA,P,8.4,6/3/2022
2010200,NLA_GA-10018,NLA17_GA-10002,1,2017,GA,CPL,PLNLOW,Region_04,H03,South Atlantic Gulf Region,NOT_MISSISSIPPI_BASIN,H03N,South Atlantic-North Region,33.29943,-81.89276,Include,Include,Include,"(4,10]",PROB,NATURAL,Target,Urban,Urban,623.5581623,1300376.101,-373372.7189,Good,Low (<=3 ppm),Poor,Poor,Poor,Hypereutrophic,At or Below Benchmark,Not Detected,At or Below Benchmark,Not Detected,At or Below Benchmark,Not Detected,At or Below Benchmark,Detected,Poor,Not Assessed,Not Large,Good,Good,Good,Good,Moderately Disturbed,550.57,12.45,1.643,NA,0.008,0.001,NA,NA,NA,1.37,0.003,NA,182.45,1.2,NA,67.73,0.39,NA,NA,0.05,ND,NA,0.1,ND,NA,0.03,ND,2.8,NA,0,0.16,0.27,1.789526447,1.545028401,0.045454545,1.127742399,636140,0.322643477,0.165841476,0.009039474,NA,P,6.3,6/3/2022
2010201,NLA_KS-10021,NLA17_KS-10001,1,2017,KS,SPL,PLNLOW,Region_07,H10,Missouri Region,MISSISSIPPI_BASIN,H10L,Lower Missouri Region,39.3321,-97.37486,Include,Include,Include,"(10,20]",PROB,MAN_MADE,Target,Non-Urban,Non-Urban,27.40018355,-117422.9848,206194.5919,Good,Moderate (>3 - <5 ppm),Poor,Poor,Fair,Eutrophic,At or Below Benchmark,Detected,At or Below Benchmark,Not Detected,At or Below Benchmark,Not Detected,At or Below Benchmark,Detected,Good,Poor,Not Large,Poor,Fair,Fair,Poor,Moderately Disturbed,1142.17,8.54,11.145,NA,0.008,0.001,NA,NA,NA,2.813,0.003,NA,498.325,1.2,NA,9.76,0.39,NA,NA,0.05,ND,NA,0.1,ND,0.89,0.03,NA,3.84,25.65,39.9,0,0,0.313747282,0.307368019,0.918699187,0.312276134,19700,0.285539079,0.14353489,0.001530702,NA,P,17.4,6/3/2022
